x,y,yaw
3.841604818620375283e+01,1.220201515850547835e+01,2.538872190336457280e+00
3.836407390430425579e+01,1.223778063808065930e+01,2.537176530360496063e+00
3.826655379947953861e+01,1.230537640191118953e+01,2.534866821493144684e+00
3.812348787172957287e+01,1.240480244999706727e+01,2.533935694262538618e+00
3.793487612105440121e+01,1.253605878233829074e+01,2.533425024565510775e+00
3.770071854745399520e+01,1.269914539893486349e+01,2.491770744694425055e+00
3.740457738899134910e+01,1.294420062858563547e+01,2.405220482971148321e+00
3.707400712886514782e+01,1.327217855336002472e+01,2.388249521567409328e+00
3.670959484012263374e+01,1.359517684612031729e+01,2.447552466317041819e+00
3.632086552900256038e+01,1.389865437389307523e+01,2.505183537362444923e+00
3.591095312267550099e+01,1.418512693219120280e+01,2.552932603179559390e+00
3.551697563345483388e+01,1.443618791061815720e+01,2.611419159734927664e+00
3.514858300764527854e+01,1.463410095812922762e+01,2.597736652754443654e+00
3.482117906884434433e+01,1.485556266486749699e+01,2.540862913276693558e+00
3.449831330572716581e+01,1.507965493877048679e+01,2.534787928925762657e+00
3.417547816640731639e+01,1.530379100171328943e+01,2.534651967474727208e+00
3.385267365088478897e+01,1.552797085369589958e+01,2.534516005899916991e+00
3.352989975915958354e+01,1.575219449471832789e+01,2.534380044206362204e+00
3.320715649123169300e+01,1.597646192478056548e+01,2.534244082399084164e+00
3.288444384710113155e+01,1.620077314388261769e+01,2.510694002815526460e+00
3.254582690966150693e+01,1.646053973189565056e+01,2.459447494183728544e+00
3.218165573260809253e+01,1.677349803986437848e+01,2.476451505316943802e+00
3.177652649234337545e+01,1.706295147764572562e+01,2.525944277226655821e+00
3.136688970019221756e+01,1.734981813730216516e+01,2.530668628023461153e+00
3.095725290804106677e+01,1.763668479695860114e+01,2.530668628023457600e+00
3.054761611588991599e+01,1.792355145661504068e+01,2.530668628023459377e+00
3.013797932373876165e+01,1.821041811627147666e+01,2.530668628023466482e+00
2.972834253158760376e+01,1.849728477592791265e+01,2.530668628023466482e+00
2.931870573943644942e+01,1.878415143558434863e+01,2.554031721343011263e+00
2.890283648043045517e+01,1.904731885338566144e+01,2.636813255176164716e+00
2.849460605626495635e+01,1.924218613229852792e+01,2.702042443716655029e+00
2.812536410958127320e+01,1.941320231781839212e+01,2.645311025167314867e+00
2.781785593372494603e+01,1.960549093511103891e+01,2.559476715541894265e+00
2.753015027263003844e+01,1.980461365337549751e+01,2.536149090557765717e+00
2.724245885474717710e+01,2.000375671033954461e+01,2.536078126660473497e+00
2.695478168007636199e+01,2.020292010600316956e+01,2.536007162708660445e+00
2.666711874861758957e+01,2.040210384036638303e+01,2.535936198703040212e+00
2.637947006037085629e+01,2.060130791342917789e+01,2.503766595408932538e+00
2.609806808219101271e+01,2.082423156704667733e+01,2.412002692423433459e+00
2.580904151238271993e+01,2.111547569825220805e+01,2.364300174680209032e+00
2.548104070830465417e+01,2.143059126155032601e+01,2.435870218057556880e+00
2.509132037661127868e+01,2.172445473177524988e+01,2.512867384587606612e+00
2.468181177336851917e+01,2.201150443972793624e+01,2.552243111964900280e+00
2.426915662284347519e+01,2.227445057327032174e+01,2.552292457952677118e+00
2.388831548984282449e+01,2.254134944242926153e+01,2.530393524121167470e+00
2.350743538566566571e+01,2.280819264290333948e+01,2.530539645010856820e+00
2.312651631031200239e+01,2.307498017469254847e+01,2.530685765912923380e+00
2.274555826378183099e+01,2.334171203779688852e+01,2.530831886821124144e+00
2.236456124607515150e+01,2.360838823221635963e+01,2.530978007729217438e+00
2.198352525719196748e+01,2.387500875795095823e+01,2.531124128630948711e+00
2.160245029713228249e+01,2.414157361500069854e+01,2.531270249520098048e+00
2.122133636589607875e+01,2.440808280336556990e+01,2.508800568462946856e+00
2.084333001076566561e+01,2.469863989745587673e+01,2.508851270002982581e+00
2.043347066693435110e+01,2.498518858724475677e+01,2.531444713040825967e+00
2.002361132310304015e+01,2.527173727703363681e+01,2.535835208762834192e+00
1.961593322662675831e+01,2.555146373915503943e+01,2.603796979610203621e+00
1.922849116945655013e+01,2.575033456043614422e+01,2.747530940489115281e+00
1.885522461428860197e+01,2.587150883193965711e+01,2.923712729600576488e+00
1.849524852660371366e+01,2.591559425345332457e+01,-1.347492373232261897e-02
1.814856290640188519e+01,2.588259082497714303e+01,-2.934666182184074490e+00
1.781516775368312366e+01,2.577249854651111249e+01,-2.781022710158003619e+00
1.749404290544005391e+01,2.563589639159876299e+01,-2.698121187143339483e+00
1.717492780670417574e+01,2.546783221999114488e+01,-2.565165873091184601e+00
1.686664152767334102e+01,2.522453881736554848e+01,-2.393747258086646568e+00
1.657553052882083477e+01,2.490776973379730563e+01,-2.299020372064513928e+00
1.631497632112924379e+01,2.460660935600957089e+01,-2.226087759373515773e+00
1.614135266942215097e+01,2.435137498748726870e+01,-2.176190424425106684e+00
1.601922707799507606e+01,2.417791361157786056e+01,-2.271140469974558318e+00
1.590927632421159288e+01,2.406836909646511558e+01,-2.524164393836443310e+00
1.577600970404547454e+01,2.400377866967832574e+01,-2.703944046561967518e+00
1.562044738050408377e+01,2.393356335767396459e+01,-2.741828222091774236e+00
1.545461493047334933e+01,2.386818370061840611e+01,1.578780687297491880e-01
1.527844772360579029e+01,2.387872836152170919e+01,2.850835627776157288e+00
1.511836694669342940e+01,2.397075246953708927e+01,2.420688957390535467e+00
1.499715632695941636e+01,2.412995973645111647e+01,2.197343680534698862e+00
1.486450263688398543e+01,2.432287376771616039e+01,2.129795700902850086e+00
1.475672340669081528e+01,2.451303988019701308e+01,1.933208742563355731e+00
1.471314185901633209e+01,2.471831420570992677e+01,1.560267401074578508e+00
1.476924869788676276e+01,2.495765951672558103e+01,1.196703776404525632e+00
1.492504392330210727e+01,2.523107581324398296e+01,9.624493401226333900e-01
1.517876251334494597e+01,2.553305469534770822e+01,7.980538509872228126e-01
1.552165002816490791e+01,2.583627471434941825e+01,6.566752441774478255e-01
1.591939470386016531e+01,2.610216655399909413e+01,5.245243905080464453e-01
1.628149583404659850e+01,2.628146938757586071e+01,3.663895941073060936e-01
1.660325921201001975e+01,2.637156023170626540e+01,1.380615985044842120e-01
1.688468483775042728e+01,2.637243908639030465e+01,-1.740407534312937987e-01
1.712577271126781397e+01,2.628410595162797492e+01,-5.376691601183869462e-01
1.732652283256219050e+01,2.610656082741928330e+01,-8.767621461541401651e-01
1.748693520163354975e+01,2.583980371376422625e+01,-1.137427315676818873e+00
